scenario	language	family	rep	title	task_file
E5	go	huyang	1	bench x33 E5 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E5-go-huyang-r1-20260913-144923.md
E5	go	huyang	2	bench x33 E5 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E5-go-huyang-r2-20260913-144925.md
E5	go	huyang	3	bench x33 E5 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E5-go-huyang-r3-20260913-144926.md
E5	go	builtin	1	bench x33 E5 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E5-go-builtin-r1-20260913-144927.md
E5	go	builtin	2	bench x33 E5 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E5-go-builtin-r2-20260913-144928.md
E5	go	builtin	3	bench x33 E5 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E5-go-builtin-r3-20260913-144930.md
E5	go	bash	1	bench x33 E5 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E5-go-bash-r1-20260913-144931.md
E5	go	bash	2	bench x33 E5 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E5-go-bash-r2-20260913-144932.md
E5	go	bash	3	bench x33 E5 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E5-go-bash-r3-20260913-144933.md
E6	go	huyang	1	bench x33 E6 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E6-go-huyang-r1-20260913-144935.md
E6	go	huyang	2	bench x33 E6 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E6-go-huyang-r2-20260913-144936.md
E6	go	huyang	3	bench x33 E6 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E6-go-huyang-r3-20260913-144937.md
E6	go	builtin	1	bench x33 E6 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E6-go-builtin-r1-20260913-144938.md
E6	go	builtin	2	bench x33 E6 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E6-go-builtin-r2-20260913-144939.md
E6	go	builtin	3	bench x33 E6 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E6-go-builtin-r3-20260913-144940.md
E6	go	bash	1	bench x33 E6 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E6-go-bash-r1-20260913-144942.md
E6	go	bash	2	bench x33 E6 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E6-go-bash-r2-20260913-144943.md
E6	go	bash	3	bench x33 E6 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E6-go-bash-r3-20260913-144944.md
E7	go	huyang	1	bench x33 E7 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E7-go-huyang-r1-20260913-144945.md
E7	go	huyang	2	bench x33 E7 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E7-go-huyang-r2-20260913-144947.md
E7	go	huyang	3	bench x33 E7 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E7-go-huyang-r3-20260913-144948.md
E7	go	builtin	1	bench x33 E7 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E7-go-builtin-r1-20260913-144949.md
E7	go	builtin	2	bench x33 E7 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E7-go-builtin-r2-20260913-144950.md
E7	go	builtin	3	bench x33 E7 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E7-go-builtin-r3-20260913-144951.md
E7	go	bash	1	bench x33 E7 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E7-go-bash-r1-20260913-144952.md
E7	go	bash	2	bench x33 E7 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E7-go-bash-r2-20260913-144953.md
E7	go	bash	3	bench x33 E7 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E7-go-bash-r3-20260913-144955.md
E8	go	huyang	1	bench x33 E8 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E8-go-huyang-r1-20260913-144956.md
E8	go	huyang	2	bench x33 E8 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E8-go-huyang-r2-20260913-144957.md
E8	go	huyang	3	bench x33 E8 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E8-go-huyang-r3-20260913-144958.md
E8	go	builtin	1	bench x33 E8 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E8-go-builtin-r1-20260913-144959.md
E8	go	builtin	2	bench x33 E8 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E8-go-builtin-r2-20260913-145001.md
E8	go	builtin	3	bench x33 E8 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E8-go-builtin-r3-20260913-145003.md
E8	go	bash	1	bench x33 E8 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E8-go-bash-r1-20260913-145005.md
E8	go	bash	2	bench x33 E8 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E8-go-bash-r2-20260913-145006.md
E8	go	bash	3	bench x33 E8 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-E8-go-bash-r3-20260913-145007.md
V1	go	huyang	1	bench x33 V1 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-V1-go-huyang-r1-20260913-145008.md
V1	go	huyang	2	bench x33 V1 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-V1-go-huyang-r2-20260913-145009.md
V1	go	huyang	3	bench x33 V1 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-V1-go-huyang-r3-20260913-145011.md
V1	go	builtin	1	bench x33 V1 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-V1-go-builtin-r1-20260913-145012.md
V1	go	builtin	2	bench x33 V1 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-V1-go-builtin-r2-20260913-145014.md
V1	go	builtin	3	bench x33 V1 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-V1-go-builtin-r3-20260913-145015.md
V1	go	bash	1	bench x33 V1 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-V1-go-bash-r1-20260913-145016.md
V1	go	bash	2	bench x33 V1 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-V1-go-bash-r2-20260913-145017.md
V1	go	bash	3	bench x33 V1 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-V1-go-bash-r3-20260913-145019.md
D1	go	huyang	1	bench x33 D1 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-D1-go-huyang-r1-20260913-145043.md
D1	go	huyang	2	bench x33 D1 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-D1-go-huyang-r2-20260913-145044.md
D1	go	huyang	3	bench x33 D1 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-D1-go-huyang-r3-20260913-145045.md
D1	go	builtin	1	bench x33 D1 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-D1-go-builtin-r1-20260913-145047.md
D1	go	builtin	2	bench x33 D1 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-D1-go-builtin-r2-20260913-145048.md
D1	go	builtin	3	bench x33 D1 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-D1-go-builtin-r3-20260913-145049.md
D1	go	bash	1	bench x33 D1 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-D1-go-bash-r1-20260913-145050.md
D1	go	bash	2	bench x33 D1 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-D1-go-bash-r2-20260913-145051.md
D1	go	bash	3	bench x33 D1 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-D1-go-bash-r3-20260913-145052.md
D2	go	huyang	1	bench x33 D2 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-D2-go-huyang-r1-20260913-145054.md
D2	go	huyang	2	bench x33 D2 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-D2-go-huyang-r2-20260913-145055.md
D2	go	huyang	3	bench x33 D2 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-D2-go-huyang-r3-20260913-145056.md
D2	go	builtin	1	bench x33 D2 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-D2-go-builtin-r1-20260913-145057.md
D2	go	builtin	2	bench x33 D2 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-D2-go-builtin-r2-20260913-145059.md
D2	go	builtin	3	bench x33 D2 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-D2-go-builtin-r3-20260913-145100.md
D2	go	bash	1	bench x33 D2 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-D2-go-bash-r1-20260913-145101.md
D2	go	bash	2	bench x33 D2 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-D2-go-bash-r2-20260913-145102.md
D2	go	bash	3	bench x33 D2 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x33-D2-go-bash-r3-20260913-145103.md
